,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
49,2023-12-08 00:00:00,22301222,,1610612760,1610612744,2023,,138.0,52.0,86.1,17.2,15.0,39.0,,136.0,47.1,82.6,39.6,29.0,60.0,1
50,2023-12-08 00:00:00,22301223,,1610612759,1610612741,2023,,112.0,47.0,85.0,40.5,35.0,44.0,,121.0,46.1,58.3,46.4,27.0,56.0,0
51,2023-12-08 00:00:00,22301228,,1610612756,1610612758,2023,,106.0,48.2,65.2,34.4,26.0,40.0,,114.0,45.7,80.0,35.9,25.0,50.0,0
52,2023-12-08 00:00:00,22301224,,1610612743,1610612745,2023,,106.0,42.2,74.1,35.7,22.0,47.0,,114.0,42.7,73.8,33.3,21.0,47.0,0
53,2023-12-08 00:00:00,22301226,,1610612757,1610612742,2023,,112.0,37.1,88.9,34.0,20.0,48.0,,125.0,51.6,86.4,30.8,26.0,42.0,0
54,2023-12-08 00:00:00,22301225,,1610612762,1610612746,2023,,103.0,45.2,75.0,29.0,23.0,40.0,,117.0,48.9,76.2,44.1,23.0,40.0,0
55,2023-12-08 00:00:00,22301219,,1610612751,1610612764,2023,,124.0,48.1,77.8,30.3,27.0,55.0,,97.0,41.8,71.4,18.2,19.0,41.0,1
56,2023-12-07 00:00:00,22301230,,1610612747,1610612740,2023,,133.0,54.7,75.9,48.6,31.0,59.0,,89.0,35.8,70.0,22.6,22.0,42.0,1
57,2023-12-07 00:00:00,22301229,,1610612749,1610612754,2023,,119.0,44.8,75.0,36.4,19.0,46.0,,128.0,49.0,84.0,21.2,30.0,51.0,0
58,2023-12-06 00:00:00,22301206,,1610612765,1610612763,2023,,102.0,45.1,100.0,31.4,30.0,42.0,,116.0,51.6,78.6,42.3,26.0,46.0,0
59,2023-12-06 00:00:00,22301205,,1610612739,1610612753,2023,,121.0,53.5,75.0,41.2,29.0,45.0,,111.0,48.8,73.0,8.7,22.0,36.0,1
60,2023-12-06 00:00:00,22301207,,1610612761,1610612748,2023,,103.0,43.0,88.2,37.8,29.0,46.0,,112.0,46.1,84.2,36.8,33.0,44.0,0
61,2023-12-06 00:00:00,22301209,,1610612737,1610612751,2023,,113.0,44.7,94.4,34.3,25.0,49.0,,114.0,45.7,70.8,40.7,24.0,45.0,0
62,2023-12-06 00:00:00,22301212,,1610612745,1610612760,2023,,110.0,48.2,68.2,45.5,28.0,53.0,,101.0,42.5,79.2,27.6,22.0,30.0,1
63,2023-12-06 00:00:00,22301213,,1610612742,1610612762,2023,,147.0,55.4,68.4,44.9,37.0,47.0,,97.0,40.2,83.3,36.4,22.0,43.0,1
64,2023-12-06 00:00:00,22301211,,1610612741,1610612766,2023,,111.0,42.2,79.3,48.0,23.0,57.0,,100.0,43.3,100.0,27.0,25.0,42.0,1
65,2023-12-06 00:00:00,22301208,,1610612764,1610612755,2023,,126.0,56.5,100.0,40.0,39.0,32.0,,131.0,51.1,85.3,29.6,29.0,43.0,0
66,2023-12-06 00:00:00,22301215,,1610612746,1610612743,2023,,111.0,46.0,76.0,44.4,21.0,51.0,,102.0,41.8,88.9,38.7,29.0,46.0,1
67,2023-12-06 00:00:00,22301214,,1610612744,1610612757,2023,,110.0,41.9,84.8,29.4,20.0,50.0,,106.0,41.1,75.0,34.8,22.0,40.0,1
68,2023-12-06 00:00:00,22301210,,1610612750,1610612759,2023,,102.0,41.4,85.7,30.0,20.0,55.0,,94.0,37.6,66.7,22.2,23.0,49.0,1
69,2023-12-05 00:00:00,22301201,,1610612749,1610612752,2023,,146.0,60.4,68.4,60.5,32.0,37.0,,122.0,49.4,87.9,30.4,27.0,36.0,1
70,2023-12-05 00:00:00,22301203,,1610612747,1610612756,2023,,106.0,37.3,84.0,30.0,24.0,45.0,,103.0,49.3,81.0,48.0,25.0,44.0,1
71,2023-12-04 00:00:00,22301204,,1610612758,1610612740,2023,,117.0,44.7,81.8,34.1,29.0,38.0,,127.0,54.0,82.6,45.2,29.0,42.0,0
72,2023-12-04 00:00:00,22301202,,1610612754,1610612738,2023,,122.0,45.7,81.0,47.5,28.0,41.0,,112.0,47.4,66.7,29.3,27.0,56.0,1
73,2023-12-02 00:00:00,22300280,,1610612746,1610612744,2023,,113.0,48.9,85.7,33.3,31.0,40.0,,112.0,44.2,79.2,39.5,31.0,42.0,1
74,2023-12-02 00:00:00,22300281,,1610612766,1610612750,2023,,117.0,48.4,89.5,48.0,29.0,36.0,,123.0,51.2,86.7,35.5,26.0,41.0,0
75,2023-12-02 00:00:00,22300283,,1610612765,1610612739,2023,,101.0,47.0,65.2,26.7,24.0,49.0,,110.0,49.4,66.7,33.3,25.0,43.0,0
76,2023-12-02 00:00:00,22300286,,1610612749,1610612737,2023,,132.0,59.6,80.0,42.4,33.0,44.0,,121.0,44.6,76.2,39.5,23.0,40.0,1
77,2023-12-02 00:00:00,22300284,,1610612748,1610612754,2023,,129.0,53.9,87.5,48.0,27.0,28.0,,144.0,65.9,80.0,50.0,35.0,32.0,0
78,2023-12-02 00:00:00,22300287,,1610612742,1610612760,2023,,120.0,44.8,65.7,36.5,26.0,47.0,,126.0,44.0,81.8,45.5,24.0,50.0,0
79,2023-12-02 00:00:00,22300288,,1610612756,1610612763,2023,,116.0,43.4,81.4,34.6,24.0,44.0,,109.0,45.3,91.7,29.0,14.0,40.0,1
80,2023-12-02 00:00:00,22300289,,1610612762,1610612757,2023,,118.0,48.9,79.2,20.6,27.0,56.0,,113.0,40.0,88.9,32.5,17.0,40.0,1
81,2023-12-02 00:00:00,22300290,,1610612758,1610612743,2023,,123.0,48.5,73.3,47.1,33.0,47.0,,117.0,49.5,65.0,24.0,35.0,46.0,1
82,2023-12-02 00:00:00,22300285,,1610612741,1610612740,2023,,124.0,54.5,73.3,42.5,32.0,41.0,,118.0,50.0,80.0,32.0,20.0,39.0,1
83,2023-12-02 00:00:00,22300291,,1610612747,1610612745,2023,,107.0,44.9,70.4,29.6,24.0,48.0,,97.0,40.4,77.8,35.5,24.0,54.0,1
84,2023-12-02 00:00:00,22300282,,1610612751,1610612753,2023,,129.0,50.5,74.2,41.2,31.0,57.0,,101.0,39.8,81.5,31.0,24.0,37.0,1
85,2023-12-01 00:00:00,22300279,,1610612756,1610612743,2023,,111.0,46.4,92.3,33.3,22.0,43.0,,119.0,56.8,58.3,37.5,38.0,32.0,0
86,2023-12-01 00:00:00,22300275,,1610612738,1610612755,2023,,125.0,50.6,86.1,48.5,25.0,46.0,,119.0,45.7,73.9,45.7,16.0,42.0,1
87,2023-12-01 00:00:00,22300278,,1610612740,1610612759,2023,,121.0,49.4,93.1,32.3,26.0,42.0,,106.0,45.8,82.4,41.0,28.0,39.0,1
88,2023-12-01 00:00:00,22300277,,1610612742,1610612763,2023,,94.0,37.0,66.7,30.8,27.0,42.0,,108.0,48.9,81.8,32.4,27.0,52.0,0
89,2023-12-01 00:00:00,22300274,,1610612753,1610612764,2023,,130.0,51.7,78.8,38.7,35.0,44.0,,125.0,50.6,71.0,46.4,25.0,40.0,1
90,2023-12-01 00:00:00,22300276,,1610612761,1610612752,2023,,106.0,44.0,70.6,18.8,32.0,48.0,,119.0,50.0,81.3,44.4,30.0,43.0,0
91,2023-11-30 00:00:00,22300270,,1610612750,1610612762,2023,,101.0,43.8,76.9,37.1,29.0,42.0,,90.0,37.9,92.9,32.4,22.0,51.0,1
92,2023-11-30 00:00:00,22300272,,1610612759,1610612737,2023,,135.0,53.9,91.3,43.9,34.0,47.0,,137.0,51.0,86.2,42.4,24.0,37.0,0
93,2023-11-30 00:00:00,22300271,,1610612760,1610612747,2023,,133.0,53.2,86.4,33.3,29.0,48.0,,110.0,44.4,84.4,33.3,24.0,41.0,1
94,2023-11-30 00:00:00,22300273,,1610612744,1610612746,2023,,120.0,50.0,74.2,38.5,30.0,47.0,,114.0,44.2,75.0,37.5,26.0,43.0,1
95,2023-11-30 00:00:00,22300269,,1610612741,1610612749,2023,,120.0,45.9,77.3,35.1,32.0,51.0,,113.0,44.9,69.2,33.3,28.0,43.0,1
96,2023-11-30 00:00:00,22300268,,1610612752,1610612765,2023,,118.0,46.6,71.4,39.0,25.0,41.0,,112.0,53.1,64.7,42.9,22.0,42.0,1
97,2023-11-30 00:00:00,22300265,,1610612739,1610612757,2023,,95.0,42.7,100.0,21.9,25.0,35.0,,103.0,50.6,100.0,40.0,29.0,40.0,0
98,2023-11-30 00:00:00,22300266,,1610612751,1610612766,2023,,128.0,49.5,66.7,38.9,21.0,52.0,,129.0,50.5,100.0,58.3,30.0,41.0,0
99,2023-11-30 00:00:00,22300267,,1610612748,1610612754,2023,,142.0,55.8,84.4,38.1,25.0,48.0,,132.0,51.0,65.6,25.6,30.0,34.0,1
100,2023-11-29 00:00:00,22300259,,1610612753,1610612764,2023,,139.0,60.7,83.3,63.0,34.0,44.0,,120.0,47.1,77.1,37.9,28.0,29.0,1
101,2023-11-29 00:00:00,22300260,,1610612761,1610612756,2023,,112.0,45.2,85.7,37.0,25.0,49.0,,105.0,40.4,95.7,26.9,25.0,47.0,1
102,2023-11-29 00:00:00,22300262,,1610612740,1610612755,2023,,124.0,53.8,88.2,33.3,33.0,40.0,,114.0,51.9,88.9,41.2,28.0,30.0,1
103,2023-11-29 00:00:00,22300263,,1610612743,1610612745,2023,,134.0,50.5,73.1,44.2,37.0,41.0,,124.0,54.7,73.7,39.0,27.0,35.0,1
104,2023-11-29 00:00:00,22300258,,1610612765,1610612747,2023,,107.0,41.2,85.7,41.7,28.0,39.0,,133.0,51.1,81.6,35.3,28.0,49.0,0
105,2023-11-29 00:00:00,22300261,,1610612763,1610612762,2023,,105.0,49.4,75.0,33.3,26.0,51.0,,91.0,37.8,58.3,41.0,26.0,39.0,1
106,2023-11-29 00:00:00,22300264,,1610612758,1610612746,2023,,117.0,46.5,85.7,31.7,22.0,47.0,,131.0,53.8,77.3,50.0,28.0,37.0,0
107,2023-11-28 00:00:00,22300053,,1610612738,1610612741,2023,,124.0,52.2,75.0,42.9,36.0,52.0,,97.0,43.3,55.6,32.1,25.0,37.0,1
108,2023-11-28 00:00:00,22300057,,1610612752,1610612766,2023,,115.0,46.6,90.0,39.5,21.0,54.0,,91.0,41.6,57.1,41.9,21.0,41.0,1
109,2023-11-28 00:00:00,22300054,,1610612751,1610612761,2023,,115.0,44.9,84.6,34.2,26.0,59.0,,103.0,38.6,63.2,36.1,27.0,46.0,1
110,2023-11-28 00:00:00,22300055,,1610612739,1610612737,2023,,128.0,53.8,88.2,36.1,27.0,55.0,,105.0,34.7,91.7,29.5,21.0,44.0,1
111,2023-11-28 00:00:00,22300056,,1610612748,1610612749,2023,,124.0,51.1,66.7,46.7,32.0,35.0,,131.0,53.4,88.9,37.1,26.0,45.0,0
112,2023-11-28 00:00:00,22300058,,1610612750,1610612760,2023,,106.0,42.3,81.3,42.4,18.0,51.0,,103.0,41.1,78.3,36.7,22.0,36.0,1
113,2023-11-28 00:00:00,22300059,,1610612742,1610612745,2023,,121.0,47.2,86.2,35.3,25.0,38.0,,115.0,49.4,79.3,27.6,33.0,40.0,1
114,2023-11-28 00:00:00,22300060,,1610612758,1610612744,2023,,124.0,45.1,64.3,34.1,25.0,46.0,,123.0,48.2,86.7,41.5,25.0,52.0,1
115,2023-11-27 00:00:00,22300253,,1610612765,1610612764,2023,,107.0,42.2,68.4,21.1,29.0,49.0,,126.0,50.6,92.9,34.5,29.0,46.0,0
116,2023-11-27 00:00:00,22300254,,1610612754,1610612757,2023,,110.0,47.7,75.0,24.2,26.0,42.0,,114.0,47.1,80.6,50.0,20.0,38.0,0
117,2023-11-27 00:00:00,22300257,,1610612746,1610612743,2023,,104.0,41.2,82.4,30.0,18.0,49.0,,113.0,47.8,53.6,45.5,28.0,52.0,0
118,2023-11-27 00:00:00,22300255,,1610612755,1610612747,2023,,138.0,50.5,84.6,47.8,33.0,48.0,,94.0,47.0,69.2,25.0,23.0,32.0,1
119,2023-11-27 00:00:00,22300256,,1610612762,1610612740,2023,,114.0,42.0,82.1,35.4,31.0,43.0,,112.0,50.0,68.0,31.8,27.0,48.0,1
120,2023-11-26 00:00:00,22300245,,1610612749,1610612757,2023,,108.0,39.3,75.0,33.3,19.0,52.0,,102.0,40.7,75.0,40.6,21.0,40.0,1
121,2023-11-26 00:00:00,22300250,,1610612751,1610612741,2023,,118.0,49.4,73.3,47.2,29.0,39.0,,109.0,48.2,77.3,37.5,21.0,40.0,1
122,2023-11-26 00:00:00,22300251,,1610612739,1610612761,2023,,105.0,46.4,83.3,32.3,29.0,49.0,,102.0,41.6,69.0,25.0,17.0,50.0,1
123,2023-11-26 00:00:00,22300249,,1610612763,1610612750,2023,,97.0,38.6,70.4,27.0,24.0,35.0,,119.0,53.1,78.3,44.1,30.0,42.0,0
124,2023-11-26 00:00:00,22300246,,1610612738,1610612737,2023,,113.0,44.2,80.0,27.7,24.0,58.0,,103.0,40.9,63.2,35.8,15.0,43.0,1
125,2023-11-26 00:00:00,22300247,,1610612752,1610612756,2023,,113.0,45.3,71.9,41.4,18.0,38.0,,116.0,46.2,76.2,42.1,27.0,47.0,0
126,2023-11-26 00:00:00,22300252,,1610612743,1610612759,2023,,132.0,56.2,80.0,42.9,38.0,45.0,,120.0,45.2,84.6,37.8,34.0,35.0,1
127,2023-11-26 00:00:00,22300248,,1610612753,1610612766,2023,,130.0,54.0,78.8,37.0,33.0,44.0,,117.0,53.0,64.0,43.3,27.0,36.0,1
128,2023-11-25 00:00:00,22300241,,1610612764,1610612737,2023,,108.0,48.9,100.0,26.3,33.0,41.0,,136.0,51.0,70.0,48.6,29.0,49.0,0
129,2023-11-25 00:00:00,22300244,,1610612746,1610612742,2023,,107.0,43.2,74.2,27.6,25.0,57.0,,88.0,37.4,78.6,23.7,17.0,37.0,1
130,2023-11-25 00:00:00,22300240,,1610612751,1610612748,2023,,112.0,50.0,87.0,38.9,27.0,42.0,,97.0,43.7,76.9,32.4,24.0,44.0,1
131,2023-11-25 00:00:00,22300239,,1610612760,1610612755,2023,,123.0,43.9,80.8,37.2,29.0,38.0,,127.0,45.8,82.2,34.1,30.0,49.0,0
132,2023-11-25 00:00:00,22300242,,1610612739,1610612747,2023,,115.0,47.3,87.0,32.1,30.0,37.0,,121.0,52.2,85.7,33.3,34.0,44.0,0
133,2023-11-25 00:00:00,22300243,,1610612762,1610612740,2023,,105.0,43.7,82.4,34.9,23.0,52.0,,100.0,41.9,61.1,30.6,31.0,42.0,1
134,2023-11-24 00:00:00,22300050,,1610612750,1610612758,2023,,111.0,43.9,93.1,36.4,25.0,44.0,,124.0,49.0,81.8,48.6,25.0,46.0,0
135,2023-11-24 00:00:00,22300046,,1610612761,1610612741,2023,,121.0,53.0,74.1,33.3,32.0,40.0,,108.0,51.2,63.2,44.4,20.0,37.0,1
136,2023-11-24 00:00:00,22300043,,1610612753,1610612738,2023,,113.0,50.6,72.7,39.3,23.0,48.0,,96.0,40.8,73.0,24.1,17.0,31.0,1
